split,image,num_detections,max_confidence,bbox_xyxy,detected
valid,0174_jpg.rf.bbc8535afaa50536a604330a8bace2d3.jpg,1,0.9488492012023926,"[72.14044189453125, 24.56927490234375, 592.412841796875, 639.25927734375]",1
valid,0202_jpg.rf.2cf1d1b4ab404ef1098e2c3e3bdba7e4.jpg,1,0.928461492061615,"[47.87123107910156, 22.76812744140625, 552.344482421875, 613.45654296875]",1
valid,0274_jpg.rf.6523823cf919467cd9e60d0063d73eb7.jpg,1,0.9792037010192871,"[0.0, 0.3021240234375, 637.4793701171875, 639.9000244140625]",1
valid,0384_jpg.rf.d57305613f23b994675a0e737ee77800.jpg,1,0.9580965042114258,"[1.6190185546875, 143.6031494140625, 631.617431640625, 616.8251953125]",1
valid,0458_jpg.rf.c89ace761f7b1e28d50c42e24a8dca52.jpg,1,0.9743788838386536,"[15.830322265625, 0.20892333984375, 639.560791015625, 640.0]",1
valid,0499_jpg.rf.607ab2c41ce83a677be5f13af88f2a6e.jpg,1,0.9815801978111267,"[0.0, 0.0, 640.0, 639.7491455078125]",1
valid,0553_jpg.rf.90f75d3c57abd17f5438e9fe21c5f54c.jpg,1,0.9753188490867615,"[5.5814208984375, 0.0, 639.8837890625, 639.607421875]",1
valid,0673_jpg.rf.345976e43d08dbca26e9a7118cafe9ed.jpg,1,0.9545567035675049,"[122.8140869140625, 0.0, 611.2302856445312, 640.0]",1
valid,0732_jpg.rf.516be1ba16fbcbbd3b353fde893f9af2.jpg,1,0.9692491292953491,"[1.51043701171875, 0.154296875, 633.384765625, 633.733154296875]",1
valid,1002-receipt_jpg.rf.6c624a8d146a7a1dd20770351ca01ad3.jpg,1,0.8765797019004822,"[17.01129150390625, 2.2269287109375, 382.134033203125, 639.7354736328125]",1
valid,1006-receipt_jpg.rf.4fc9d609c76c2fed60108f8a9e7622fb.jpg,1,0.9244838953018188,"[0.0, 0.0, 431.1050109863281, 640.0]",1
valid,1007-receipt_jpg.rf.3f8ea0b8ff62cb490df325569397f7f5.jpg,1,0.9847204685211182,"[0.0, 0.0, 640.0, 639.8643798828125]",1
valid,1011-receipt_jpg.rf.ebfd3bc005280f5f87b1b11098469590.jpg,1,0.9872642755508423,"[0.5230712890625, 0.104248046875, 640.0, 640.0]",1
valid,1015-receipt_jpg.rf.f494680ea9840f0774f5b6fbdc5a2654.jpg,1,0.9875339269638062,"[0.8931884765625, 0.0, 640.0, 640.0]",1
valid,1031-receipt_jpg.rf.a3bd5eed44688513ab4a7a05854b8034.jpg,1,0.9620564579963684,"[1.326416015625, 0.0, 627.2044677734375, 640.0]",1
valid,1032-receipt_jpg.rf.0981b590f6412aa690f1f99d05e75ea5.jpg,1,0.9888275861740112,"[0.22210693359375, 0.0, 640.0, 640.0]",1
valid,1040-receipt_jpg.rf.90004817718746c17a4a0b2f77d0ca92.jpg,1,0.9664526581764221,"[0.697998046875, 0.0, 620.846923828125, 640.0]",1
valid,1041-receipt_jpg.rf.119ad2aeea1ca484f5b528b0dd466e7c.jpg,1,0.9214335680007935,"[61.30595397949219, 0.59527587890625, 552.5165405273438, 640.0]",1
valid,1047_jpg.rf.d759218e62797afb7a33a719a2223e03.jpg,1,0.9603486657142639,"[0.30047607421875, 76.7525634765625, 614.1920166015625, 635.77099609375]",1
valid,1054-receipt_jpg.rf.efa51767500499fd32036122b7823b4f.jpg,1,0.9880891442298889,"[0.54339599609375, 0.2830810546875, 640.0, 639.7864990234375]",1
